,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Answer.1Neutral.0,Answer.1Somewhat Agree.1,Answer.1Somewhat Disagree.-1,Answer.1Strongly Agree.2,Answer.1Strongly Disagree.-2,Answer.Others,Approve,Reject,Score,3Score
0,3EQVJH0T598WX1F2D64P39HKUVFTHV,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3IX2EGZR7L6IVCVUNJ7H4RR62FIJR3,A2HM35CWB7IIFM,Submitted,Mon Aug 29 13:18:16 PDT 2022,Mon Aug 29 13:18:56 PDT 2022,Sat Sep 03 13:18:56 PDT 2022,,,,40,100% (14/14),100% (14/14),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"As the sun slowly sinks below the horizon, the sky takes on a different hue – from pink to orange, to red and finally to black. The sky is so alive with color and beauty that it's hard to believe that the sun is setting at all.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,True,False,False,False,objective observations combined with poetic ones,,,1,1
1,3EQVJH0T598WX1F2D64P39HKUVFTHV,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3DIP6YHAPMF42RU6A9QQGUJ97FXE80,A9HQ3E0F2AGVO,Submitted,Mon Aug 29 13:10:27 PDT 2022,Mon Aug 29 13:12:36 PDT 2022,Sat Sep 03 13:12:36 PDT 2022,,,,129,95% (41/43),95% (41/43),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"As the sun slowly sinks below the horizon, the sky takes on a different hue – from pink to orange, to red and finally to black. The sky is so alive with color and beauty that it's hard to believe that the sun is setting at all.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,False,False,True,False,,,,2,1
2,3EQVJH0T598WX1F2D64P39HKUVFTHV,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3Y5140Z9D731OOV9S9ISNVCROI3PI3,AKQAI78JTXXC9,Submitted,Mon Aug 29 13:06:24 PDT 2022,Mon Aug 29 13:09:15 PDT 2022,Sat Sep 03 13:09:15 PDT 2022,,,,171,100% (13/13),100% (13/13),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"As the sun slowly sinks below the horizon, the sky takes on a different hue – from pink to orange, to red and finally to black. The sky is so alive with color and beauty that it's hard to believe that the sun is setting at all.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,True,False,False,False,,,,1,1
3,3XUY87HIWY1ECKQTV6JQ90UOH9IMMW,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3KGTPGBS678A58P3KSWUALS97302U3,A1B0MHYD0DY5D8,Submitted,Mon Aug 29 13:16:05 PDT 2022,Mon Aug 29 13:16:25 PDT 2022,Sat Sep 03 13:16:25 PDT 2022,,,,20,0% (0/0),0% (0/0),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun slowly sinks behind the horizon, painting the sky in different colors as it goes. The colors are so vibrant and beautiful that it's hard to look away. The sky seems to be on fire, and the entire world seems so peaceful and calm.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,False,False,True,False,None,,,2,1
4,3XUY87HIWY1ECKQTV6JQ90UOH9IMMW,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3LBXNTKX01IDMW4XA6MW4FZR7RP9XS,A2CFI1X8OKYIL2,Submitted,Mon Aug 29 13:05:19 PDT 2022,Mon Aug 29 13:10:06 PDT 2022,Sat Sep 03 13:10:06 PDT 2022,,,,287,0% (0/0),0% (0/0),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun slowly sinks behind the horizon, painting the sky in different colors as it goes. The colors are so vibrant and beautiful that it's hard to look away. The sky seems to be on fire, and the entire world seems so peaceful and calm.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,False,False,True,False,,,,2,1
5,3XUY87HIWY1ECKQTV6JQ90UOH9IMMW,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,39K0FND3AR2GX3FYO5YNPTUD65OAMP,A9HQ3E0F2AGVO,Submitted,Mon Aug 29 13:13:26 PDT 2022,Mon Aug 29 13:15:41 PDT 2022,Sat Sep 03 13:15:41 PDT 2022,,,,135,95% (41/43),95% (41/43),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun slowly sinks behind the horizon, painting the sky in different colors as it goes. The colors are so vibrant and beautiful that it's hard to look away. The sky seems to be on fire, and the entire world seems so peaceful and calm.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,False,False,True,False,,,,2,1
6,3R6RZGK0YOZXWO9GS18SQR08HC8VYC,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3UNH76FOC2SHTLD14BC3SFCK9WSMYC,A2HM35CWB7IIFM,Submitted,Mon Aug 29 13:21:47 PDT 2022,Mon Aug 29 13:22:21 PDT 2022,Sat Sep 03 13:22:21 PDT 2022,,,,34,100% (14/14),100% (14/14),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in its place, a new day begins. The sky is a beautiful orange and pink, and the horizon is a beautiful line of blue. The sun is a beautiful red, and the stars are a beautiful light in the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,True,False,False,False,"somewhat simple language, but evocative and visually descriptive",,,1,1
7,3R6RZGK0YOZXWO9GS18SQR08HC8VYC,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3VBEN272MUMK5P56U2MJXO4MWPJSGV,A9HQ3E0F2AGVO,Submitted,Mon Aug 29 13:13:25 PDT 2022,Mon Aug 29 13:17:17 PDT 2022,Sat Sep 03 13:17:17 PDT 2022,,,,232,95% (41/43),95% (41/43),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in its place, a new day begins. The sky is a beautiful orange and pink, and the horizon is a beautiful line of blue. The sun is a beautiful red, and the stars are a beautiful light in the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,True,False,False,False,,,,1,1
8,3R6RZGK0YOZXWO9GS18SQR08HC8VYC,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3M23Y66POCUI8WG0IPDXLXRX2BHS6U,AKQAI78JTXXC9,Submitted,Mon Aug 29 13:20:58 PDT 2022,Mon Aug 29 13:26:14 PDT 2022,Sat Sep 03 13:26:14 PDT 2022,,,,316,100% (13/13),100% (13/13),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in its place, a new day begins. The sky is a beautiful orange and pink, and the horizon is a beautiful line of blue. The sun is a beautiful red, and the stars are a beautiful light in the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,True,False,False,False,,,,1,1
9,3YLTXLH3EOTY59MVWPV5YZGN5SUPHM,3EAACKBRWEDA5XHPTFVZOZ5BGH3NPJ,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Mon Aug 29 13:03:41 PDT 2022,3,BatchId:4812666;OriginalHitTemplateId:928390917;,480,432000,Mon Sep 05 13:03:41 PDT 2022,,,3ITXP059P66UWRV7287MU1W2OH0SJZ,A1B0MHYD0DY5D8,Submitted,Mon Aug 29 13:13:33 PDT 2022,Mon Aug 29 13:13:53 PDT 2022,Sat Sep 03 13:13:53 PDT 2022,,,,20,0% (0/0),0% (0/0),0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sunsets always remind me of the beauty of life. They are a reminder that even though things may be tough at times, there is still beauty to be found. I love to watch the sun set, and it always leaves me feeling happy and content.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",False,False,False,False,True,None,,,-2,-1
