,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Answer.Others,Approve,Reject,Score,3Score
0,3E24UO25R8D0NKQDL6RMC8M7MMNO6Y,3JV9LGBJW3157XDDNL5ADJUL1J8GOI,A1OWM3QO7QAKBN,206,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"In the summertime, the sun setschers can see him every day. The sun is the star of the night. It goes out one day, and then sets. The nighties see the sun go out, and then set. The stars can be seen to shining, and the sky is blue.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,2,1
1,3E24UO25R8D0NKQDL6RMC8M7MMNO6Y,30X31N5D6DDJVYS382U912TJ0E1SAK,AGSLBIXQFSPUY,28,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"In the summertime, the sun setschers can see him every day. The sun is the star of the night. It goes out one day, and then sets. The nighties see the sun go out, and then set. The stars can be seen to shining, and the sky is blue.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",only failures are in spelling and grammar.,,,2,1
2,3E24UO25R8D0NKQDL6RMC8M7MMNO6Y,3D4CH1LGEKG20A97LWMSGTZW6KFG9X,ALDKDKRBR4LXD,96,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"In the summertime, the sun setschers can see him every day. The sun is the star of the night. It goes out one day, and then sets. The nighties see the sun go out, and then set. The stars can be seen to shining, and the sky is blue.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",This seemed a bit confusing and some of the words were mispelled.,,,0,0
3,3VIVIU06GTZSG102ARLYH7N70D3IM7,3SKRO2GZ7BEPDR2V7ASEZF96FPFK12,A1OWM3QO7QAKBN,44,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light FTP of the sky <br><br>As the stars blossom and the sky<br><br>Fills with color as if under a sun<br><br>Moves across it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
4,3VIVIU06GTZSG102ARLYH7N70D3IM7,3FIJLY1B64RHEXTJR1C7KYZZAACPFJ,A87S18ZIX476Q,39,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light FTP of the sky <br><br>As the stars blossom and the sky<br><br>Fills with color as if under a sun<br><br>Moves across it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",inconsistency,,,0,0
5,3VIVIU06GTZSG102ARLYH7N70D3IM7,3MX2NQ3YCJHUL92L7G9FSZUPNF7X5W,ALDKDKRBR4LXD,53,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light FTP of the sky <br><br>As the stars blossom and the sky<br><br>Fills with color as if under a sun<br><br>Moves across it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",Very to the point and descriptive.,,,1,1
6,308KJXFUK0THNE7O70UXMNUGHDUATW,33SA9F9TR7HFSSQO8C6WUAMVR5QEW9,A1OWM3QO7QAKBN,56,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"When the sun sets, the sky is dark and clear. There's a light breeze and a cool breeze. It's a wonderful time to be alive, and the sun is great.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,2,1
7,308KJXFUK0THNE7O70UXMNUGHDUATW,3WQQ9FUS6KH6VOIM0IO0FMDO617B8O,A3PUUVUDORJS8W,6,100% (68/68),Write a <b>flowery</b> passage about sunsets:,"When the sun sets, the sky is dark and clear. There's a light breeze and a cool breeze. It's a wonderful time to be alive, and the sun is great.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
8,308KJXFUK0THNE7O70UXMNUGHDUATW,36W0OB37H61V6XMV90Y9EHDQ0NFZHT,ALDKDKRBR4LXD,259,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"When the sun sets, the sky is dark and clear. There's a light breeze and a cool breeze. It's a wonderful time to be alive, and the sun is great.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",I feel this response needed more details to satisfy the prompt.,,,0,0
9,3WGZLY9VDQ9WN1ICOCA4LS6ZO368D7,36AHBNMV11ZEPR7ORID09PPQ21QYD0,A1OWM3QO7QAKBN,42,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"The sun sets,<br><br>A brightness and a warmth<br><br>That they can't create<br><br>With all the day<br>In front of them.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
