HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.prompt,Input.response,Input.aspect,Answer.Score.-2,Answer.Score.-1,Answer.Score.0,Answer.Score.1,Answer.Score.2,Answer.Hardness.1,Answer.Hardness.2,Answer.Hardness.3,Answer.reward,Answer.Others.1,Approve,Reject
3ZQX1VYFUMSNRY91ELOKWMIYR2KO8W,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3Q5C1WP23WOMV8HS0NO8XQQOBPJ156,A1UTY4CQSZ8NW,Submitted,Fri Jul 29 00:06:09 PDT 2022,Fri Jul 29 00:10:03 PDT 2022,Mon Aug 01 00:10:03 PDT 2022,,,,234,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The sweet, succulent taste of strawberries is like no other fruit. They are the perfect addition to any dish, whether it be a simple salad or a decadent dessert.<br><br>The delicate flavor of strawberries is what makes them so special. They are the quintessential summer fruit, and can be enjoyed in so many different ways. Whether you like them freshly picked, or drizzled with chocolate, strawberries are sure to please.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.7,TRUE,,
3ZQX1VYFUMSNRY91ELOKWMIYR2KO8W,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,373ERPL3YYVC9FRZZDLL6XEFVQYTRK,A348DIWEUQGAZA,Submitted,Thu Jul 28 23:54:50 PDT 2022,Thu Jul 28 23:57:22 PDT 2022,Sun Jul 31 23:57:22 PDT 2022,,,,152,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The sweet, succulent taste of strawberries is like no other fruit. They are the perfect addition to any dish, whether it be a simple salad or a decadent dessert.<br><br>The delicate flavor of strawberries is what makes them so special. They are the quintessential summer fruit, and can be enjoyed in so many different ways. Whether you like them freshly picked, or drizzled with chocolate, strawberries are sure to please.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.8,TRUE,,
3ZQX1VYFUMSNRY91ELOKWMIYR2KO8W,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3CFVK00FWV8V4JLAYGGW9BD25QZ6LX,A363VYF7YS717X,Submitted,Thu Jul 28 23:55:19 PDT 2022,Fri Jul 29 00:00:15 PDT 2022,Mon Aug 01 00:00:15 PDT 2022,,,,296,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The sweet, succulent taste of strawberries is like no other fruit. They are the perfect addition to any dish, whether it be a simple salad or a decadent dessert.<br><br>The delicate flavor of strawberries is what makes them so special. They are the quintessential summer fruit, and can be enjoyed in so many different ways. Whether you like them freshly picked, or drizzled with chocolate, strawberries are sure to please.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.7,TRUE,,
3BPP3MA3UL7WUEGVEWUSWFAQ70DLEB,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3ZY8KE4ISTQRA6GORTW02PSVWPCVQ1,A2HQUKLHEBYEVX,Submitted,Thu Jul 28 23:55:02 PDT 2022,Thu Jul 28 23:58:29 PDT 2022,Sun Jul 31 23:58:29 PDT 2022,,,,207,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were ripe and red, and they smelled like summer. I wanted to eat them all, but I knew I had to share.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.85,TRUE,,
3BPP3MA3UL7WUEGVEWUSWFAQ70DLEB,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3WI0P0II6BF5SQV2DNL61TWTS4BDRM,A2YQSDTAUBIAHC,Submitted,Fri Jul 29 00:05:27 PDT 2022,Fri Jul 29 00:06:12 PDT 2022,Mon Aug 01 00:06:12 PDT 2022,,,,45,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were ripe and red, and they smelled like summer. I wanted to eat them all, but I knew I had to share.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.65,TRUE,,
3BPP3MA3UL7WUEGVEWUSWFAQ70DLEB,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3NQL1CS151V0J87AI3DUFBVXVYTYV7,AKQAI78JTXXC9,Submitted,Thu Jul 28 23:55:06 PDT 2022,Thu Jul 28 23:58:40 PDT 2022,Sun Jul 31 23:58:40 PDT 2022,,,,214,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were ripe and red, and they smelled like summer. I wanted to eat them all, but I knew I had to share.",Writing Style,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,FALSE,,
35F6NGNVNH6Z4C9Q0XIDCWSQFQVT70,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3RXCAC0YI1C2M5QXG4GEGX4LF438GF,A1MRZL0WII2LZ0,Submitted,Thu Jul 28 23:55:23 PDT 2022,Fri Jul 29 00:02:49 PDT 2022,Mon Aug 01 00:02:49 PDT 2022,,,,446,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were plump and red, with a hint of sweetness in the air. They looked like they had been freshly picked, and I couldn't help but feel a pang of jealousy. I wished I could have been the one to pick them, to feel the warm sun on my skin and the soft dirt beneath my feet. Instead, I was stuck inside, staring longingly at the fruit.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.95,TRUE,,
35F6NGNVNH6Z4C9Q0XIDCWSQFQVT70,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3NPI0JQDAYSRX2BKMLHW12E0U8ATPS,A1PUIM6U5XPOGI,Submitted,Thu Jul 28 23:59:36 PDT 2022,Fri Jul 29 00:04:24 PDT 2022,Mon Aug 01 00:04:24 PDT 2022,,,,288,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were plump and red, with a hint of sweetness in the air. They looked like they had been freshly picked, and I couldn't help but feel a pang of jealousy. I wished I could have been the one to pick them, to feel the warm sun on my skin and the soft dirt beneath my feet. Instead, I was stuck inside, staring longingly at the fruit.",Writing Style,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5,TRUE,,
35F6NGNVNH6Z4C9Q0XIDCWSQFQVT70,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3OS46CRSLPMY0OX4CKI2WKB4WO0V64,A2Q2E55XZ7V2YY,Submitted,Thu Jul 28 23:55:33 PDT 2022,Fri Jul 29 00:04:35 PDT 2022,Mon Aug 01 00:04:35 PDT 2022,,,,542,0% (0/0),0% (0/0),0% (0/0),Write a passage with a flowery writing style about strawberries:,"The strawberries were plump and red, with a hint of sweetness in the air. They looked like they had been freshly picked, and I couldn't help but feel a pang of jealousy. I wished I could have been the one to pick them, to feel the warm sun on my skin and the soft dirt beneath my feet. Instead, I was stuck inside, staring longingly at the fruit.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.6,TRUE,,
3J06WJ78IW7GSUEBNQL8JSWEYTIVVA,3YO63Q6HKEGVHAX467ZOTU5QHZMNR6,Annotate the response quality based on a prompt,Annotate the quality of a written response with regard to the style requested in the prompt.,"writing, prompt, quality, rating, style",$0.10,Thu Jul 28 23:54:27 PDT 2022,3,BatchId:4791504;OriginalHitTemplateId:928390917;,600,259200,Thu Aug 04 23:54:27 PDT 2022,,,3XXU1SWE8WIJUP8RZ0BPRWN0YBE0A8,A213FOKAHTV7A1,Submitted,Thu Jul 28 23:54:37 PDT 2022,Thu Jul 28 23:57:53 PDT 2022,Sun Jul 31 23:57:53 PDT 2022,,,,196,0% (0/0),0% (0/0),0% (0/0),Write a prosaic passage about sunsets:,"The sun slowly sinks behind the horizon, painting the sky in a spectrum of oranges, pinks, and purples. The world is bathed in a warm, golden light, and the air is thick with the scent of summer. The setting sun casts long shadows across the land, and the world is filled with a sense of peace.",Writing Style,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.8,FALSE,,
