,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Input.setting,Answer.Others,Approve,Reject,Score,3Score
0,3ZQX1VYFUMSNRY91ELOKWMIZUTP8O8,3MHW492WWA00PRIWZ0PJLG8QZT3VMP,A2CFI1X8OKYIL2,381,100% (66/66),Write a <b>flowery</b> passage about sunsets:,"""The sun is a golden ball,<br>""slowly losing its strength,<br>""and leaving a blood-red trail in the sky.<br>The day is dying.""<br>The teacher said I was good.<br>But she didn't believe me.<br>I was in the 9th grade.<br>I had so many ideas.<br>I was a little like you.<br>But I would've liked you even if you hadn't been like me.<br>I was really in love.<br>I'll tell you about him.<br>His name was Vincent.<br>We met in a library.<br>He was reading a book about fishing.<br>I was reading a book about the factory where I was working.<br>We both left.<br>We were together all summer.<br>I was happy.<br>Then he had to go back to school.<br>I was in love with him, so I followed him.<br>You know the rest.<br>I came here.<br>You know, it's strange.<br>It was your story.<br>I wasn't in love with him.<br>I was in love with my idea of him.<br>I was in love with my Vincent.<br>But one day, I saw him.<br>This real Vincent.<br>I didn't recognize him.<br>I didn't understand any more.<br>I didn't understand why he did what he did.<br>I didn't understand anything.<br>And you know what?<br>Now, I",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,,,,2,1
1,3ZQX1VYFUMSNRY91ELOKWMIZUTP8O8,3H7XDTSHKMEDC6MFE7WKUD77AG1GWK,A3PUUVUDORJS8W,469,100% (128/128),Write a <b>flowery</b> passage about sunsets:,"""The sun is a golden ball,<br>""slowly losing its strength,<br>""and leaving a blood-red trail in the sky.<br>The day is dying.""<br>The teacher said I was good.<br>But she didn't believe me.<br>I was in the 9th grade.<br>I had so many ideas.<br>I was a little like you.<br>But I would've liked you even if you hadn't been like me.<br>I was really in love.<br>I'll tell you about him.<br>His name was Vincent.<br>We met in a library.<br>He was reading a book about fishing.<br>I was reading a book about the factory where I was working.<br>We both left.<br>We were together all summer.<br>I was happy.<br>Then he had to go back to school.<br>I was in love with him, so I followed him.<br>You know the rest.<br>I came here.<br>You know, it's strange.<br>It was your story.<br>I wasn't in love with him.<br>I was in love with my idea of him.<br>I was in love with my Vincent.<br>But one day, I saw him.<br>This real Vincent.<br>I didn't recognize him.<br>I didn't understand any more.<br>I didn't understand why he did what he did.<br>I didn't understand anything.<br>And you know what?<br>Now, I",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,"Beginning yes, but the latter parts don’t fit.",,,-1,-1
2,3ZQX1VYFUMSNRY91ELOKWMIZUTP8O8,34S9DKFK7DCNB3Y1GCR35U1KM0JNYU,AKQAI78JTXXC9,321,100% (149/149),Write a <b>flowery</b> passage about sunsets:,"""The sun is a golden ball,<br>""slowly losing its strength,<br>""and leaving a blood-red trail in the sky.<br>The day is dying.""<br>The teacher said I was good.<br>But she didn't believe me.<br>I was in the 9th grade.<br>I had so many ideas.<br>I was a little like you.<br>But I would've liked you even if you hadn't been like me.<br>I was really in love.<br>I'll tell you about him.<br>His name was Vincent.<br>We met in a library.<br>He was reading a book about fishing.<br>I was reading a book about the factory where I was working.<br>We both left.<br>We were together all summer.<br>I was happy.<br>Then he had to go back to school.<br>I was in love with him, so I followed him.<br>You know the rest.<br>I came here.<br>You know, it's strange.<br>It was your story.<br>I wasn't in love with him.<br>I was in love with my idea of him.<br>I was in love with my Vincent.<br>But one day, I saw him.<br>This real Vincent.<br>I didn't recognize him.<br>I didn't understand any more.<br>I didn't understand why he did what he did.<br>I didn't understand anything.<br>And you know what?<br>Now, I",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,truncated,,,0,0
3,3E9VAUV7C51D406IH6HWU4MWYROAYP,3E13VNJ1NXIY7WC77772MZUTTGQI1L,A35TF71Q0XO0PH,40,100% (16/16),Write a <b>flowery</b> passage about sunsets:,"the red light, the golden light, the rosy light, the crimson light, the purple light, the orange light, the golden light, the deep orange light, the golden light and the deep orange light, the orange light and the deep orange light, the golden light and the deep orange light.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,inconsistency,,,1,1
4,3E9VAUV7C51D406IH6HWU4MWYROAYP,3GD6L00D32KK3F2YSM5UES1AAP41ME,A3PUUVUDORJS8W,74,100% (128/128),Write a <b>flowery</b> passage about sunsets:,"the red light, the golden light, the rosy light, the crimson light, the purple light, the orange light, the golden light, the deep orange light, the golden light and the deep orange light, the orange light and the deep orange light, the golden light and the deep orange light.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,This is nonsensical even if parts of it such as ‘rosy light’ could be quite beautiful,,,-1,-1
5,3E9VAUV7C51D406IH6HWU4MWYROAYP,39ASUFLU67UUHSVEIH2IWT0262PXEA,AKQAI78JTXXC9,251,100% (149/149),Write a <b>flowery</b> passage about sunsets:,"the red light, the golden light, the rosy light, the crimson light, the purple light, the orange light, the golden light, the deep orange light, the golden light and the deep orange light, the orange light and the deep orange light, the golden light and the deep orange light.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,,,,-1,-1
6,39XCQ6V3L7REFAKVGRVN32MH73U65F,3HFNH7HEMR18S9QT2YXE2OPLMFDQGJ,A2CFI1X8OKYIL2,433,100% (66/66),Write a <b>flowery</b> passage about sunsets:,"the sun, the earth, the sky, the<br>water, all seen through a dreamy atmosphere; add a few reminiscences of<br>the evening walks you have had with her, etc.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,,,,2,1
7,39XCQ6V3L7REFAKVGRVN32MH73U65F,3WJ1OXY92K31CEDUU4O4KBTIUEQA8S,A35TF71Q0XO0PH,327,100% (16/16),Write a <b>flowery</b> passage about sunsets:,"the sun, the earth, the sky, the<br>water, all seen through a dreamy atmosphere; add a few reminiscences of<br>the evening walks you have had with her, etc.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,inconsistency,,,1,1
8,39XCQ6V3L7REFAKVGRVN32MH73U65F,3NG53N1RL568ZIJWJN61A6IDT0K8P0,A3PUUVUDORJS8W,24,100% (128/128),Write a <b>flowery</b> passage about sunsets:,"the sun, the earth, the sky, the<br>water, all seen through a dreamy atmosphere; add a few reminiscences of<br>the evening walks you have had with her, etc.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,the use of “etc” takes away from the sense of this being flowery.,,,1,1
9,307L9TDWK7FJ8G3J1PTBQGAJOXS3NW,3SLE99ER0X0LFKJ998ODS6ASB5GZBF,A3JZS32RQUWGJM,107,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"Sunsets are so colorful and beautiful. They are the best at the end of the day. They are the last thing we see when we close our eyes. Sunsets are special because they are the only time we see the sky.<br>I love sunsets because they are so beautiful and special. Every sunset is special, but the sunset at the end of the day is really special. The sunsets are special because they are the last thing we see when we are looking at the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,Second to last sentence is incorrect/weird. Final sentence is repetitive.,,,1,1
