Setting,prompt_id,Prompts,failure_ratio,score_mean,score_std,0,1,2,3,4,5,6,7,8,9
text-davinci-002\nT=0.7,0,Flowery\nWriting style,0.2,1.03,0.77,1.67,1.33,0,1,-0.67,2,1,1,1.67,1.33
text-davinci-002\nT=0.7,1,Humorous\nTone,0.9,-0.5,0.48,-0.67,0,-1,-0.67,-0.67,0,-0.33,-0.67,-1.33,0.33
text-davinci-002\nT=0.7,2,Fearful\nMood,0.3,0.57,0.7,1.33,-0.33,1.33,0.33,0.33,-0.67,1.33,1,0,1
text-davinci-002\nT=0.7,3,Indirect\nCharacterization,0.2,0.7,0.64,1,0.67,-0.33,1,0.67,1.33,1,1,1.33,-0.67
text-davinci-002\nT=0.7,4,Fast\nPacing,0.1,1.23,0.72,1.33,1,1.33,1.33,2,1,-0.67,1.33,1.67,2
text-davinci-002\nT=0.7,5,"""Tragedy""\nPlot",0,1.6,0.39,1.33,1.67,1.67,2,1.33,2,1,2,2,1
text-davinci-002\nT=0.7,6,Historical Fiction\nGenre,0.3,0.77,0.93,0.33,1,2,1.33,1.67,0,-0.33,1,1.67,-1
text-curie-001\nT=0.7,0,Flowery\nWriting style,0.2,0.77,1.12,1.33,2,1,0,1.67,-1.67,1,1.33,1.67,-0.67
text-curie-001\nT=0.7,1,Humorous\nTone,1,-1.33,0.71,-1.67,-1.67,0,-1.67,-1.67,-1.67,-2,0,-1,-2
text-curie-001\nT=0.7,2,Fearful\nMood,0.3,0.47,1.26,0.67,1,-1.67,0.67,0,1.33,1.33,-2,2,1.33
text-curie-001\nT=0.7,3,Indirect\nCharacterization,0.6,0.3,0.74,0.33,0.67,1.33,0.33,-1.33,-0.33,1,0,1,0
text-curie-001\nT=0.7,4,Fast\nPacing,0.2,0.6,0.59,-0.33,0.33,1,0,0.67,0.67,0,1.67,1.33,0.67
text-curie-001\nT=0.7,5,"""Tragedy""\nPlot",0.1,1.6,0.68,2,1.33,-0.33,1.67,2,1.67,2,1.67,2,2
text-curie-001\nT=0.7,6,Historical Fiction\nGenre,0.6,-0.03,1.47,-0.67,-1.33,2,-1.67,-0.67,1.67,-2,1,2,-0.67
text-davinci-002\nT=1,0,Flowery\nWriting style,0.2,1.23,0.73,0.33,1.33,2,2,1.67,1.33,0.67,-0.33,1.67,1.67
text-davinci-002\nT=1,1,Humorous\nTone,0.5,-0.13,1.17,1,0.33,-1,-1.67,1,-0.33,-1.33,1.67,0.67,-1.67
text-davinci-002\nT=1,2,Fearful\nMood,0,1.77,0.21,2,1.67,2,1.67,2,1.67,1.67,2,1.67,1.33
text-davinci-002\nT=1,3,Indirect\nCharacterization,0.1,0.97,0.5,1,1.67,-0.33,1,1.33,1,0.67,1,1.33,1
text-davinci-002\nT=1,4,Fast\nPacing,0,1.4,0.55,1.67,0.67,2,2,0.67,1.67,2,0.67,1.67,1
text-davinci-002\nT=1,5,"""Tragedy""\nPlot",0,1.73,0.49,2,1.67,2,2,0.33,2,1.67,1.67,2,2
text-davinci-002\nT=1,6,Historical Fiction\nGenre,0.3,0.83,1.01,0.33,1.67,-0.67,0.67,1,2,0,2,-0.67,2
